year,certificate,movielist
1994,A,The Shawshank Redemption
1972,A,The Godfather
1993,U,Ramayana: The Legend of Prince Rama
1975,Not Rated,Hababam Sinifi
2008,UA,The Dark Knight
1993,A,Schindler's List
2003,U,The Lord of the Rings: The Return of the King
1957,U,12 Angry Men
1974,A,The Godfather Part II
2016,Not Rated,Aynabaji
2022,UA,DAMaN
1994,A,Pulp Fiction
2021,Not Rated,Kimetsu no Yaiba: Tsuzumi Yashiki Hen
1976,PG,Al-risÃ¢lah
1976,Not Rated,Tosun Pasa
1975,Not Rated,Hababam Sinifi Sinifta Kaldi
1999,A,Fight Club
2001,U,The Lord of the Rings: The Fellowship of the Ring
2010,UA,Inception
1994,UA,Forrest Gump
2002,UA,The Lord of the Rings: The Two Towers
1966,A,"Il buono, il brutto, il cattivo"
2021,A,Jai Bhim
2006,Not Rated,Kill Bill: The Whole Bloody Affair
2022,UA,777 Charlie
1993,U,Manichitrathazhu
2020,Not Rated,Kimetsu no Yaiba: Natagumo Yama Hen
1984,Not Rated,Balkanski spijun
2021,U,#Home
1982,Not Rated,Maratonci trce pocasni krug
1976,Not Rated,SÃ¼t Kardesler
2023,U,Spider-Man: Across the Spider-Verse
2014,UA,Interstellar
1990,A,Goodfellas
1999,A,The Matrix
1975,A,One Flew Over the Cuckoo's Nest
1980,UA,Star Wars: Episode V - The Empire Strikes Back
2022,All,The Legend of Maula Jatt
2022,UA,Rocketry: The Nambi Effect
2021,Not Rated,Toma
2020,U,Soorarai Pottru
2018,U,Pariyerum Perumal
1980,Not Rated,Ko to tamo peva
2018,UA,Peranbu
1985,Not Rated,ZÃ¼gÃ¼rt Aga
1977,Not Rated,Saban Oglu Saban
1978,Not Rated,Neseli GÃ¼nler
1978,Not Rated,Kibar Feyzo
1977,Not Rated,Hababam Sinifi Uyaniyor
1991,A,The Silence of the Lambs
1995,A,Se7en
1998,A,Saving Private Ryan
1999,UA,The Green Mile
1977,U,Star Wars
2002,A,Cidade de Deus
2001,U,Sen to Chihiro no kamikakushi
1991,A,Terminator 2: Judgment Day
1997,U,La vita Ã¨ bella
1946,PG,It's a Wonderful Life
1954,U,Shichinin no samurai
1962,Not Rated,Seppuku
2022,A,The Kashmir Files
2022,U,Sita Ramam
2000,Not Rated,O Auto da Compadecida
1987,A,Nayakan
2003,U,Anbe Sivam
1996,Not Rated,Lepa sela lepo gore
1977,Not Rated,Hababam Sinifi Tatilde
2023,R,Oppenheimer
1979,R,Alien
2000,UA,Gladiator
2012,A,Django Unchained
2019,A,Gisaengchung
2006,A,The Departed
2006,U,The Prestige
1985,U,Back to the Future
2014,A,Whiplash
1960,A,Psycho
1994,A,LÃ©on
1995,A,The Usual Suspects
1994,U,The Lion King
1998,R,American History X
2002,13,The Pianist
1942,U,Casablanca
2011,UA,The Intouchables
1988,U,Hotaru no haka
1968,U,Once Upon a Time in the West
1954,U,Rear Window
1988,U,Nuovo Cinema Paradiso
1936,Not Rated,Modern Times
1931,G,City Lights
II 2018,U,96
1964,Not Rated,Suna no onna
2003,R,La meglio gioventÃ¹
1960,Not Rated,Le trou
2019,U,Kumbalangi Nights
1959,U,Apur Sansar
2019,U,Jersey
2021,UA,Sarpatta Parambarai
1977,Not Rated,Selvi Boylum Al Yazmalim
2015,UA,Visaaranai
1991,UA,Thalapathi
1977,Not Rated,ÃÃ¶pÃ§Ã¼ler Krali
1965,Not Rated,Operatsiya 'Y' i drugie priklyucheniya Shurika
1979,U,Gol Maal
1980,Not Rated,ZÃ¼bÃ¼k
1980,A,The Shining
I 2019,A,Joker
2009,A,Inglourious Basterds
2012,UA,The Dark Knight Rises
2019,UA,Avengers: Endgame
1985,A,Idi i smotri
2003,A,Oldeuboi
1986,U,Aliens
2000,UA,Memento
2018,U,Spider-Man: Into the Spider-Verse
1979,R,Apocalypse Now
1981,A,Raiders of the Lost Ark
2018,UA,Avengers: Infinity War
I 2017,U,Coco
1984,R,Amadeus
2016,U,Kimi no na wa.
2009,UA,3 Idiots
2008,U,WALLÂ·E
1964,A,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
2006,A,The Lives of Others
2018,A,CapharnaÃ¼m
1981,R,Das Boot
1950,Not Rated,Sunset Blvd.
1957,U,Witness for the Prosecution
1957,A,Paths of Glory
1963,Not Rated,Tengoku to jigoku
1940,Not Rated,The Great Dictator
2019,UA,Kaithi
2021,UA 13+,Sardar Udham
1975,Not Rated,FlÃ¥klypa Grand Prix
2020,12+,Dil Bechara
1954,Not Rated,SanshÃ´ dayÃ»
2004,(Banned),Black Friday
2019,UA,Asuran
2004,Not Rated,Marmoulak
2021,13,Drishyam 2
2018,18,Vada Chennai
2002,Not Rated,Filantropica
2020,Not Rated,Shingeki no Kyojin: Chronicle
2018,U,Mahanati
2015,U,Thani Oruvan
1987,Not Rated,Muhsin Bey
1971,Not Rated,Dzhentlmeny udachi
2016,UA,Aruvi
2004,Not Rated,Kad porastem bicu Kengur
1976,Not Rated,Kapicilar Krali
2022,UA,Top Gun: Maverick
2000,A,Requiem for a Dream
1995,A,Heat
1999,UA,American Beauty
1983,A,Scarface
1997,U,Good Will Hunting
1971,A,A Clockwork Orange
1968,U,2001: A Space Odyssey
2004,UA,Eternal Sunshine of the Spotless Mind
1987,UA,Full Metal Jacket
1995,A,Braveheart
2012,7,Jagten
1995,U,Toy Story
2020,12+,Hamilton
1992,15+,Reservoir Dogs
1984,A,Once Upon a Time in America
2010,18,Incendies
1983,U,Star Wars: Episode VI - Return of the Jedi
2001,U,Le fabuleux destin d'AmÃ©lie Poulain
2009,U,Up
2010,U,Toy Story 3
1997,U,Mononoke-hime
1941,UA,Citizen Kane
2022,UA,Vikram
1962,U,Lawrence of Arabia
1958,A,Vertigo
1927,Not Rated,Metropolis
1962,U,To Kill a Mockingbird
1952,G,Singin' in the Rain
1931,Not Rated,M - Eine Stadt sucht einen MÃ¶rder
1961,A,Judgment at Nuremberg
1973,U,The Sting
1959,U,North by Northwest
1960,U,The Apartment
2016,U,Dangal
2011,7,Jodaeiye Nader az Simin
1952,U,Ikiru
1944,Not Rated,Double Indemnity
2007,U,Taare Zameen Par
1948,U,Ladri di biciclette
2022,UA,K.G.F: Chapter 2
2019,UA,Chhichhore
2022,UA,Kantara
